coarse_cell_id	landuse	restored_ha
22085	ForestDryPoor	3.68000000
22088	ForestDryPoor	1.59000000
22094	ForestDryPoor	3.96000000
22099	ForestDryPoor	4.00000000
22100	ForestDryPoor	4.00000000
22380	ForestDryPoor	3.85000000
22381	ForestDryPoor	3.66000000
22382	ForestDryPoor	3.95000000
22383	ForestDryPoor	1.98000000
22389	ForestDryPoor	2.81000000
22391	ForestDryPoor	3.90000000
22392	ForestDryPoor	4.00000000
22395	ForestDryPoor	4.00000000
22397	ForestDryPoor	3.96000000
22676	ForestDryPoor	3.82000000
22678	ForestDryPoor	1.58000000
22684	ForestDryPoor	1.60000000
22687	ForestDryPoor	4.00000000
22971	ForestDryPoor	3.90000000
22979	ForestDryPoor	2.05000000
22982	ForestDryPoor	3.93000000
22983	ForestDryPoor	3.84000000
23265	ForestDryPoor	3.73000000
23266	ForestDryPoor	3.84000000
23267	ForestDryPoor	3.98000000
23274	ForestDryPoor	3.05000000
23279	ForestDryPoor	3.91000000
23280	ForestDryPoor	3.92000000
23281	ForestDryPoor	3.91000000
23282	ForestDryPoor	2.69000000
23560	ForestDryPoor	3.91000000
23561	ForestDryPoor	3.71000000
23562	ForestDryPoor	2.67000000
23572	ForestDryPoor	3.87000000
23574	ForestDryPoor	3.79000000
23575	ForestDryPoor	3.70000000
23576	ForestDryPoor	3.86000000
23870	ForestDryPoor	3.93000000
23871	ForestDryPoor	3.77000000
23872	ForestDryPoor	1.78000000
23873	ForestDryPoor	3.32000000
23874	ForestDryPoor	3.99000000
23877	ForestDryPoor	3.68000000
23880	ForestDryPoor	1.16000000
24147	ForestDryPoor	4.00000000
24148	ForestDryPoor	3.97000000
24149	ForestDryPoor	3.86000000
24165	ForestDryPoor	4.00000000
24167	ForestDryPoor	2.49000000
24168	ForestDryPoor	2.49000000
24169	ForestDryPoor	2.67000000
24170	ForestDryPoor	3.11000000
24173	ForestDryPoor	3.41000000
24176	ForestDryPoor	1.02000000
24444	ForestDryPoor	3.98000000
24445	ForestDryPoor	3.82000000
24462	ForestDryPoor	3.72000000
24465	ForestDryPoor	4.00000000
24466	ForestDryPoor	3.25000000
24468	ForestDryPoor	3.60000000
24740	ForestDryPoor	3.85000000
24757	ForestDryPoor	3.74000000
24761	ForestDryPoor	3.58000000
25042	ForestDryPoor	1.23000000
25052	ForestDryPoor	3.80000000
25056	ForestDryPoor	3.78000000
25057	ForestDryPoor	2.96000000
25058	ForestDryPoor	2.79000000
25323	ForestDryPoor	1.12000000
25330	ForestDryPoor	2.14000000
25341	ForestDryPoor	4.00000000
25344	ForestDryPoor	3.38000000
25351	ForestDryPoor	3.79000000
25353	ForestDryPoor	2.78000000
25355	ForestDryPoor	2.94000000
25356	ForestDryPoor	3.18000000
25359	ForestDryPoor	2.44000000
25611	ForestDryPoor	2.96000000
25612	ForestDryPoor	3.82000000
25615	ForestDryPoor	3.44000000
25616	ForestDryPoor	3.34000000
25617	ForestDryPoor	2.79000000
25618	ForestDryPoor	3.19000000
25619	ForestDryPoor	3.11000000
25620	ForestDryPoor	3.50000000
25621	ForestDryPoor	3.54000000
25623	ForestDryPoor	2.73000000
25625	ForestDryPoor	1.46000000
25642	ForestDryPoor	3.64000000
25643	ForestDryPoor	3.73000000
25644	ForestDryPoor	3.87000000
25645	ForestDryPoor	3.98000000
25646	ForestDryPoor	3.81000000
25647	ForestDryPoor	3.98000000
25648	ForestDryPoor	2.55000000
25651	ForestDryPoor	3.88000000
25652	ForestDryPoor	3.75000000
25900	ForestDryPoor	2.35000000
25901	ForestDryPoor	1.77000000
25902	ForestDryPoor	3.53000000
25903	ForestDryPoor	3.38000000
25904	ForestDryPoor	3.45000000
25905	ForestDryPoor	3.91000000
25906	ForestDryPoor	3.69000000
25907	ForestDryPoor	3.74000000
25908	ForestDryPoor	3.90000000
25910	ForestDryPoor	3.87000000
25911	ForestDryPoor	3.90000000
25912	ForestDryPoor	3.96000000
25913	ForestDryPoor	3.99000000
25914	ForestDryPoor	3.97000000
25915	ForestDryPoor	3.88000000
25916	ForestDryPoor	3.87000000
25917	ForestDryPoor	3.97000000
25919	ForestDryPoor	4.00000000
25920	ForestDryPoor	2.72000000
25939	ForestDryPoor	3.52000000
25940	ForestDryPoor	2.74000000
25942	ForestDryPoor	3.85000000
25943	ForestDryPoor	4.00000000
25951	ForestDryPoor	1.64000000
26200	ForestDryPoor	3.90000000
26201	ForestDryPoor	4.00000000
26202	ForestDryPoor	3.95000000
26203	ForestDryPoor	3.97000000
26209	ForestDryPoor	3.90000000
26210	ForestDryPoor	3.84000000
26211	ForestDryPoor	3.97000000
26212	ForestDryPoor	3.54000000
26215	ForestDryPoor	1.82000000
26223	ForestDryPoor	2.34000000
26224	ForestDryPoor	4.00000000
26235	ForestDryPoor	3.85000000
26237	ForestDryPoor	3.36000000
26238	ForestDryPoor	3.64000000
26239	ForestDryPoor	2.96000000
26241	ForestDryPoor	3.30000000
26243	ForestDryPoor	1.40000000
26486	ForestDryPoor	1.65000000
26487	ForestDryPoor	2.51000000
26492	ForestDryPoor	3.90000000
26494	ForestDryPoor	3.76000000
26497	ForestDryPoor	4.00000000
26498	ForestDryPoor	3.91000000
26506	ForestDryPoor	3.94000000
26507	ForestDryPoor	2.46000000
26508	ForestDryPoor	3.52000000
26509	ForestDryPoor	3.35000000
26519	ForestDryPoor	1.80000000
26521	ForestDryPoor	3.76000000
26530	ForestDryPoor	3.96000000
26531	ForestDryPoor	3.80000000
26533	ForestDryPoor	3.92000000
26534	ForestDryPoor	3.84000000
26535	ForestDryPoor	2.68000000
26536	ForestDryPoor	3.23000000
26538	ForestDryPoor	3.61000000
26778	ForestDryPoor	1.75000000
26779	ForestDryPoor	1.98000000
26780	ForestDryPoor	1.30000000
26782	ForestDryPoor	1.82000000
26783	ForestDryPoor	3.94000000
26784	ForestDryPoor	3.98000000
26785	ForestDryPoor	3.54000000
26786	ForestDryPoor	3.98000000
26787	ForestDryPoor	3.96000000
26788	ForestDryPoor	3.98000000
26789	ForestDryPoor	3.77000000
26790	ForestDryPoor	3.81000000
26791	ForestDryPoor	3.89000000
26792	ForestDryPoor	3.97000000
26793	ForestDryPoor	3.91000000
26794	ForestDryPoor	4.00000000
26795	ForestDryPoor	3.97000000
26796	ForestDryPoor	3.90000000
26797	ForestDryPoor	4.00000000
26798	ForestDryPoor	3.98000000
26799	ForestDryPoor	3.84000000
26800	ForestDryPoor	3.97000000
26801	ForestDryPoor	4.00000000
26802	ForestDryPoor	3.76000000
26803	ForestDryPoor	3.28000000
26804	ForestDryPoor	1.41000000
26816	ForestDryPoor	3.26000000
26821	ForestDryPoor	3.29000000
26822	ForestDryPoor	2.92000000
26823	ForestDryPoor	3.77000000
26824	ForestDryPoor	3.82000000
26825	ForestDryPoor	3.75000000
26826	ForestDryPoor	3.92000000
26828	ForestDryPoor	3.85000000
26830	ForestDryPoor	3.86000000
26831	ForestDryPoor	1.90000000
26832	ForestDryPoor	3.12000000
26833	ForestDryPoor	3.64000000
26834	ForestDryPoor	3.91000000
27075	ForestDryPoor	3.08000000
27076	ForestDryPoor	3.66000000
27095	ForestDryPoor	1.87000000
27112	ForestDryPoor	1.16000000
27114	ForestDryPoor	1.14000000
27120	ForestDryPoor	1.25000000
27121	ForestDryPoor	3.29000000
27122	ForestDryPoor	3.04000000
27123	ForestDryPoor	2.30000000
27124	ForestDryPoor	2.09000000
27125	ForestDryPoor	1.90000000
27127	ForestDryPoor	3.77000000
27128	ForestDryPoor	3.89000000
27129	ForestDryPoor	3.91000000
27130	ForestDryPoor	3.90000000
27400	ForestDryPoor	1.06000000
27423	ForestDryPoor	3.19000000
27424	ForestDryPoor	1.66000000
27425	ForestDryPoor	1.44000000
27426	ForestDryPoor	2.70000000
27657	ForestDryPoor	1.22000000
27675	ForestDryPoor	3.87000000
27696	ForestDryPoor	3.39000000
27711	ForestDryPoor	1.70000000
27946	ForestDryPoor	1.21000000
27948	ForestDryPoor	1.65000000
27955	ForestDryPoor	2.62000000
27963	ForestDryPoor	3.87000000
27971	ForestDryPoor	1.46000000
