network_name,warm_component,CertifiedAreaHa,selected_cells,existing_patches,FlowAreaHa,RequiredAreaHa,HasExistingRoot,HasNewRestoration,PassesArea,FeasibleWarmCertificate
Global,144,3.4000000000000026,1,2,3.4000000000000026,5000,TRUE,TRUE,FALSE,FALSE
Global,145,105.42000000000003,17,14,105.42000000000003,5000,TRUE,TRUE,FALSE,FALSE
Global,146,29.41000000000001,8,14,29.41000000000001,5000,TRUE,TRUE,FALSE,FALSE
Global,147,26.480000000000018,9,25,26.480000000000018,5000,TRUE,TRUE,FALSE,FALSE
Global,148,382.9300000000001,60,57,382.9300000000001,5000,TRUE,TRUE,FALSE,FALSE
Global,149,9.730000000000004,2,2,9.730000000000004,5000,TRUE,TRUE,FALSE,FALSE
Global,150,2.6400000000000015,1,2,2.6400000000000015,5000,TRUE,TRUE,FALSE,FALSE
Global,151,3.1400000000000023,1,1,3.1400000000000023,5000,TRUE,TRUE,FALSE,FALSE
Global,152,3.8500000000000028,1,2,3.8500000000000028,5000,TRUE,TRUE,FALSE,FALSE
Global,153,1.650000000000001,1,1,1.650000000000001,5000,TRUE,TRUE,FALSE,FALSE
Global,154,11.830000000000005,3,5,11.830000000000005,5000,TRUE,TRUE,FALSE,FALSE
Global,155,82.47000000000003,13,18,82.47000000000003,5000,TRUE,TRUE,FALSE,FALSE
Global,156,3.0900000000000025,1,1,3.0900000000000025,5000,TRUE,TRUE,FALSE,FALSE
Global,157,3.4400000000000026,1,3,3.4400000000000026,5000,TRUE,TRUE,FALSE,FALSE
Global,158,14.490000000000006,3,1,14.490000000000006,5000,TRUE,TRUE,FALSE,FALSE
Global,159,47.81000000000001,4,7,47.81000000000001,5000,TRUE,TRUE,FALSE,FALSE
Global,160,1.6900000000000013,1,3,1.6900000000000013,5000,TRUE,TRUE,FALSE,FALSE
Global,161,6.040000000000004,2,2,6.040000000000004,5000,TRUE,TRUE,FALSE,FALSE
Global,162,10.230000000000008,4,3,10.230000000000008,5000,TRUE,TRUE,FALSE,FALSE
Global,163,86.97000000000003,14,31,86.97000000000003,5000,TRUE,TRUE,FALSE,FALSE
Global,164,98.17,7,7,98.17,5000,TRUE,TRUE,FALSE,FALSE
Global,165,65.27000000000002,13,13,65.27000000000002,5000,TRUE,TRUE,FALSE,FALSE
Global,166,126.35000000000004,15,12,126.35000000000004,5000,TRUE,TRUE,FALSE,FALSE
Global,167,7.460000000000004,2,1,7.460000000000004,5000,TRUE,TRUE,FALSE,FALSE
Global,168,4.570000000000002,1,1,4.570000000000002,5000,TRUE,TRUE,FALSE,FALSE
Global,169,4.040000000000003,1,2,4.040000000000003,5000,TRUE,TRUE,FALSE,FALSE
Global,170,10.280000000000006,3,3,10.280000000000006,5000,TRUE,TRUE,FALSE,FALSE
Global,171,349.32000000000005,14,8,349.32000000000005,5000,TRUE,TRUE,FALSE,FALSE
Global,172,3.3700000000000028,1,3,3.3700000000000028,5000,TRUE,TRUE,FALSE,FALSE
Global,173,75.65,7,8,75.65,5000,TRUE,TRUE,FALSE,FALSE
Global,174,12.97,1,1,12.97,5000,TRUE,TRUE,FALSE,FALSE
Global,175,3.6800000000000015,1,2,3.6800000000000015,5000,TRUE,TRUE,FALSE,FALSE
Global,176,18.720000000000006,4,2,18.720000000000006,5000,TRUE,TRUE,FALSE,FALSE
Global,177,19.1,1,1,19.1,5000,TRUE,TRUE,FALSE,FALSE
Global,178,568.98,39,14,568.98,5000,TRUE,TRUE,FALSE,FALSE
Global,179,14.18,1,4,14.18,5000,TRUE,TRUE,FALSE,FALSE
Global,180,2.6800000000000015,1,1,2.6800000000000015,5000,TRUE,TRUE,FALSE,FALSE
Global,181,3.9700000000000015,1,2,3.9700000000000015,5000,TRUE,TRUE,FALSE,FALSE
Global,182,9.770000000000001,1,1,9.770000000000001,5000,TRUE,TRUE,FALSE,FALSE
Global,183,16.640000000000008,4,2,16.640000000000008,5000,TRUE,TRUE,FALSE,FALSE
Subarea1,134,46.93074877929689,180,168,934.7400000000004,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,139,42.38000019531251,5,3,42.38000000000001,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,144,3.3999999511718775,1,2,3.4000000000000026,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,145,104.4582011230469,17,14,105.42000000000003,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,146,28.247596337890638,8,14,29.41000000000001,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,147,26.47999970703127,9,25,26.480000000000018,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,148,378.3986286376954,60,57,382.9300000000001,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,149,9.73000004882813,2,2,9.730000000000004,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,150,2.6400000000000015,1,2,2.6400000000000015,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,151,3.1400000000000023,1,1,3.1400000000000023,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,152,3.8500000000000028,1,2,3.8500000000000028,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,153,1.650000000000001,1,1,1.650000000000001,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,154,10.69379887695313,3,5,11.830000000000005,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,155,82.47000063476565,13,18,82.47000000000003,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,156,3.0900000000000025,1,1,3.0900000000000025,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,157,3.4400000488281273,1,3,3.4400000000000026,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,158,14.490000195312504,3,1,14.490000000000006,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,159,47.80999946289064,4,7,47.81000000000001,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,160,1.6900000000000013,1,3,1.6900000000000013,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,161,5.925199755859379,2,2,6.040000000000004,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,162,10.134801513671883,4,3,10.230000000000008,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,163,85.31999477539065,14,31,86.97000000000003,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,164,82.55195097656251,7,7,98.17,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,165,65.27000073242189,13,13,65.27000000000002,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,166,119.14579580078127,15,12,126.35000000000004,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,167,7.459999902343754,2,1,7.460000000000004,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,168,4.570000048828128,1,1,4.570000000000002,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,169,4.0400001464843776,1,2,4.040000000000003,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,170,10.280000097656256,3,3,10.280000000000006,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,171,349.27939892578127,14,8,349.32000000000005,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,172,3.3700000000000028,1,3,3.3700000000000028,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,173,72.83080585937502,7,8,75.65,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,174,4.088930664062501,1,1,12.97,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,175,2.6837970214843763,1,2,3.6800000000000015,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,176,18.720000244140632,4,2,18.720000000000006,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,177,19.099799853515627,1,1,19.1,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,178,568.6149997558595,39,14,568.98,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,179,14.179999951171876,1,4,14.18,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,180,2.680000048828126,1,1,2.6800000000000015,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,181,3.7641627441406267,1,2,3.9700000000000015,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,182,7.923632861328127,1,1,9.770000000000001,1000,TRUE,TRUE,FALSE,FALSE
Subarea1,183,16.640000097656255,4,2,16.640000000000008,1000,TRUE,TRUE,FALSE,FALSE
