i,j
12944,13239
12945,12946
12945,13240
12952,12953
12952,13247
12953,12954
12953,13248
12954,12955
12954,13249
12955,12956
12955,13250
12956,12957
12956,13251
12957,12958
12957,13252
12958,12959
12958,13253
12959,13254
13230,13231
13233,13234
13233,13528
13234,13235
13234,13529
13235,13236
13235,13530
13236,13237
13236,13531
13237,13532
13239,13240
13247,13248
13248,13249
13248,13543
13249,13250
13249,13544
13250,13251
13250,13545
13251,13252
13251,13546
13252,13253
13252,13547
13253,13254
13253,13548
13254,13549
13527,13528
13527,13822
13528,13529
13528,13823
13529,13530
13529,13824
13530,13531
13530,13825
13531,13532
13531,13826
13543,13544
13543,13838
13544,13545
13544,13839
13545,13546
13545,13840
13546,13547
13546,13841
13547,13548
13547,13842
13548,13549
13548,13843
13822,13823
13823,13824
13823,14118
13824,13825
13824,14119
13825,13826
13825,14120
13826,14121
13838,13839
13838,14133
13839,13840
13839,14134
13840,13841
13840,14135
13841,13842
13841,14136
13842,13843
13842,14137
13843,14138
14118,14119
14118,14413
14119,14120
14119,14414
14120,14121
14120,14415
14121,14416
14133,14134
14133,14428
14134,14135
14134,14429
14135,14136
14135,14430
14136,14137
14136,14431
14137,14138
14137,14432
14138,14433
14413,14414
14413,14708
14414,14415
14414,14709
14415,14416
14415,14710
14426,14427
14426,14721
14427,14428
14427,14722
14428,14429
14428,14723
14429,14430
14429,14724
14430,14431
14430,14725
14431,14432
14431,14726
14432,14433
14432,14727
14433,14728
14708,14709
14708,15003
14709,14710
14709,15004
14710,15005
14720,14721
14720,15015
14721,14722
14721,15016
14722,14723
14722,15017
14723,14724
14723,15018
14724,14725
14724,15019
14725,14726
14725,15020
14726,14727
14726,15021
14727,14728
14727,15022
14728,15023
15003,15004
15003,15298
15004,15005
15004,15299
15005,15300
15014,15015
15014,15309
15015,15016
15015,15310
15016,15017
15016,15311
15017,15018
15017,15312
15018,15019
15018,15313
15019,15020
15019,15314
15020,15021
15020,15315
15021,15022
15021,15316
15022,15023
15022,15317
15298,15299
15298,15593
15299,15300
15299,15594
15300,15595
15308,15309
15308,15603
15309,15310
15309,15604
15310,15311
15310,15605
15311,15312
15311,15606
15312,15313
15312,15607
15313,15314
15313,15608
15314,15315
15314,15609
15315,15316
15315,15610
15316,15317
15316,15611
15317,15612
15593,15594
15593,15888
15594,15595
15594,15889
15595,15890
15603,15604
15603,15898
