network_name,child,parent,flow_ha,child_type,parent_type,child_id,parent_id
Global,p_86661,c_87113,2.13,p,c,86661,87113
Global,c_86819,c_87114,446.8700000000002,c,c,86819,87114
Global,c_86820,c_86821,6.670000000000005,c,c,86820,86821
Global,c_87113,c_87114,4.290000000000002,c,c,87113,87114
Global,c_87408,c_87409,1.180000000000001,c,c,87408,87409
Global,p_86658,c_87409,0.01,p,c,86658,87409
Global,p_86697,c_87705,0.01,p,c,86697,87705
Global,p_86707,c_87705,0.01,p,c,86707,87705
Global,p_86766,c_87705,0.16,p,c,86766,87705
Global,p_86863,c_87409,1.82,p,c,86863,87409
Global,c_86821,c_86822,10.31000000000001,c,c,86821,86822
Global,c_87114,p_86723,452.7000000000002,c,p,87114,86723
Global,c_87409,p_86723,4.450000000000002,c,p,87409,86723
Global,c_87705,p_86723,1.9900000000000015,c,p,87705,86723
Global,c_86822,c_86823,11.480000000000011,c,c,86822,86823
Global,c_87116,c_87117,3.0600000000000027,c,c,87116,87117
Global,p_86116,c_86823,1.59,p,c,86116,86823
Global,p_86117,c_86823,0.31,p,c,86117,86823
Global,p_86723,c_87411,469.1500000000002,p,c,86723,87411
Global,c_86823,c_87118,15.380000000000013,c,c,86823,87118
Global,c_87117,c_87118,6.970000000000007,c,c,87117,87118
Global,c_87411,c_87412,472.0500000000002,c,c,87411,87412
Global,p_87043,c_88003,0.55,p,c,87043,88003
Global,p_87317,c_87707,10.23,p,c,87317,87707
Global,c_87118,c_87119,25.850000000000023,c,c,87118,87119
Global,c_87412,c_87413,475.4700000000002,c,c,87412,87413
Global,c_87707,p_87028,12.740000000000002,c,p,87707,87028
Global,c_88003,p_87028,2.2400000000000015,c,p,88003,87028
Global,c_87119,c_87414,28.010000000000026,c,c,87119,87414
Global,c_87413,c_87414,478.3500000000002,c,c,87413,87414
Global,p_87028,c_87414,24.92,p,c,87028,87414
Global,c_87414,c_87415,533.7800000000002,c,c,87414,87415
Global,c_87415,c_87416,536.7200000000003,c,c,87415,87416
Global,p_86893,c_87711,0.33,p,c,86893,87711
Global,p_86978,c_87416,5.71,p,c,86978,87416
Global,c_87416,c_87417,545.1700000000003,c,c,87416,87417
Global,c_87711,c_87712,1.400000000000001,c,c,87711,87712
Global,c_87417,c_87418,548.8100000000003,c,c,87417,87418
Global,c_87712,c_87713,2.9600000000000026,c,c,87712,87713
Global,p_87050,c_87713,7.64,p,c,87050,87713
Global,c_86242,c_86537,3.150000000000003,c,c,86242,86537
Global,c_87418,c_87123,552.5600000000003,c,c,87418,87123
Global,c_87713,c_87714,14.280000000000005,c,c,87713,87714
Global,c_88008,c_88009,3.710000000000003,c,c,88008,88009
Global,c_89486,c_89191,1.2600000000000011,c,c,89486,89191
Global,c_86536,p_86402,2.440000000000002,c,p,86536,86402
Global,c_86537,p_86402,6.420000000000006,c,p,86537,86402
Global,c_87123,c_87124,554.4900000000002,c,c,87123,87124
Global,c_87419,c_87124,3.8200000000000034,c,c,87419,87124
Global,c_87714,c_87715,18.000000000000007,c,c,87714,87715
Global,c_88009,c_88010,7.710000000000006,c,c,88009,88010
Global,c_88304,c_88305,2.950000000000003,c,c,88304,88305
Global,c_88895,c_88600,1.9100000000000017,c,c,88895,88600
Global,c_89191,c_88896,4.850000000000005,c,c,89191,88896
Global,c_89487,c_89192,3.2900000000000027,c,c,89487,89192
Global,p_86073,c_86830,2.22,p,c,86073,86830
Global,c_86830,c_87125,4.740000000000002,c,c,86830,87125
Global,c_87124,c_87125,561.1000000000003,c,c,87124,87125
Global,c_87420,c_87125,3.6600000000000033,c,c,87420,87125
Global,c_87715,c_87716,21.68000000000001,c,c,87715,87716
Global,c_88010,c_88011,11.48000000000001,c,c,88010,88011
Global,c_88305,c_88306,6.770000000000007,c,c,88305,88306
Global,c_88600,c_88601,4.800000000000004,c,c,88600,88601
Global,c_88896,c_88601,8.410000000000007,c,c,88896,88601
Global,c_89192,c_88897,6.870000000000006,c,c,89192,88897
Global,c_89782,c_89783,3.220000000000003,c,c,89782,89783
Global,c_90372,c_90077,1.7600000000000016,c,c,90372,90077
Global,p_86402,c_87127,14.360000000000008,p,c,86402,87127
Global,p_86433,c_87127,0.01,p,c,86433,87127
Global,p_86441,c_87127,0.02,p,c,86441,87127
Global,p_87391,c_88306,1.21,p,c,87391,88306
Global,c_87125,p_86948,573.0400000000002,c,p,87125,86948
Global,c_87127,p_86948,16.06000000000001,c,p,87127,86948
Global,c_87421,p_86948,1.4000000000000012,c,p,87421,86948
Global,c_87428,c_87427,1.4200000000000013,c,c,87428,87427
Global,c_87716,c_87717,25.110000000000014,c,c,87716,87717
Global,c_88011,c_88012,14.990000000000013,c,c,88011,88012
Global,c_88306,c_88307,11.080000000000009,c,c,88306,88307
Global,c_88601,c_88602,16.690000000000015,c,c,88601,88602
Global,c_88897,c_88602,10.820000000000011,c,c,88897,88602
Global,c_89783,c_89784,6.190000000000005,c,c,89783,89784
Global,c_90077,c_90078,3.2700000000000027,c,c,90077,90078
Global,c_90373,c_90078,2.8500000000000023,c,c,90373,90078
Global,c_90667,c_90668,1.190000000000001,c,c,90667,90668
Global,p_86922,c_88018,0.01,p,c,86922,88018
Global,p_86940,c_88018,0.01,p,c,86940,88018
Global,p_86965,c_88018,0.01,p,c,86965,88018
Global,c_87132,c_87131,3.4700000000000033,c,c,87132,87131
Global,c_87427,p_87085,4.660000000000004,c,p,87427,87085
Global,c_87717,c_87718,26.340000000000014,c,c,87717,87718
Global,c_87722,p_87085,1.110000000000001,c,p,87722,87085
Global,c_87723,p_87085,3.380000000000003,c,p,87723,87085
Global,c_88012,c_88013,18.590000000000018,c,c,88012,88013
Global,c_88018,p_87085,2.780000000000002,c,p,88018,87085
Global,c_88307,c_88308,14.660000000000013,c,c,88307,88308
Global,c_88602,c_88603,31.25000000000003,c,c,88602,88603
Global,c_88898,c_88603,3.860000000000003,c,c,88898,88603
Global,c_89784,c_89489,9.810000000000008,c,c,89784,89489
Global,c_90078,c_90079,9.020000000000007,c,c,90078,90079
Global,c_90374,c_90079,3.6400000000000032,c,c,90374,90079
Global,c_90668,c_90669,3.0500000000000025,c,c,90668,90669
Global,p_86475,c_87423,0.01,p,c,86475,87423
Global,p_86625,c_87423,0.01,p,c,86625,87423
Global,p_86637,c_87423,0.01,p,c,86637,87423
Global,p_86948,c_87423,605.8500000000003,p,c,86948,87423
Global,p_88018,c_89194,2.49,p,c,88018,89194
Global,c_86835,c_87130,2.5100000000000025,c,c,86835,87130
Global,c_87131,c_87130,4.860000000000005,c,c,87131,87130
Global,c_87423,c_87424,607.7200000000003,c,c,87423,87424
Global,c_87718,c_87719,28.520000000000017,c,c,87718,87719
Global,c_88013,c_88014,20.85000000000002,c,c,88013,88014
Global,c_88308,c_88309,18.350000000000016,c,c,88308,88309
Global,c_88603,c_88604,38.960000000000036,c,c,88603,88604
Global,c_88899,c_88604,3.220000000000003,c,c,88899,88604
Global,c_89194,c_89195,5.900000000000003,c,c,89194,89195
Global,c_89489,c_89490,12.20000000000001,c,c,89489,89490
Global,c_89785,c_89490,4.0000000000000036,c,c,89785,89490
Global,c_90079,c_90080,16.510000000000012,c,c,90079,90080
Global,c_90375,c_90080,3.710000000000003,c,c,90375,90080
Global,c_90669,c_90670,6.600000000000006,c,c,90669,90670
Global,p_86715,c_87424,0.88,p,c,86715,87424
Global,p_87085,c_87130,22.410000000000007,p,c,87085,87130
