network_name	coarse_cell_id	counted_area_ha	total_restorable_ha
Global	90675	3.60000000	3.60000000
Global	90676	2.78000000	2.78000000
Global	90677	2.40000000	2.40000000
Global	90678	2.78000000	2.78000000
Global	90681	3.95000000	3.95000000
Global	90976	3.70000000	3.70000000
Global	91271	3.70000000	3.70000000
Global	91566	3.41000000	3.41000000
Global	91861	3.34000000	3.34000000
Global	91864	1.67000000	1.67000000
Global	91867	1.30000000	1.30000000
Global	92156	3.24000000	3.24000000
Global	92157	1.28000000	1.28000000
Global	92160	1.91000000	1.91000000
Global	92161	1.51000000	1.51000000
Global	92162	1.92000000	1.92000000
Global	92163	2.37000000	2.37000000
Global	92164	2.01000000	2.01000000
Global	92451	2.04000000	2.04000000
Global	92452	1.27000000	1.27000000
Global	92456	1.07000000	1.07000000
Global	92457	1.55000000	1.55000000
Global	92458	3.33000000	3.33000000
Global	92459	3.18000000	3.18000000
Global	92460	1.84000000	1.84000000
Global	92461	2.52000000	2.52000000
Global	92747	2.48000000	2.48000000
Global	92749	1.06000000	1.06000000
Global	92754	2.24000000	2.24000000
Global	92755	3.70000000	3.70000000
Global	92756	3.46000000	3.46000000
Global	93043	2.92000000	2.92000000
Global	93044	1.25000000	1.25000000
Global	93045	1.67000000	1.67000000
Global	93046	1.58000000	1.58000000
Global	93051	2.37000000	2.37000000
Global	93052	2.97000000	2.97000000
Global	93053	1.87000000	1.87000000
Global	93330	1.56000000	1.56000000
Global	93331	1.25000000	1.25000000
Global	93338	3.85000000	3.85000000
Global	93339	3.83000000	3.83000000
Global	93343	1.76000000	1.76000000
Global	93349	1.63000000	1.63000000
Global	93626	1.89000000	1.89000000
Global	93636	1.00000000	1.00000000
Global	93637	3.28000000	3.28000000
Global	93638	3.75000000	3.75000000
Global	93639	3.35000000	3.35000000
Global	93911	1.45000000	1.45000000
Global	93918	2.97000000	2.97000000
Global	93919	1.51000000	1.51000000
Global	93920	2.11000000	2.11000000
Global	93921	2.88000000	2.88000000
Global	93924	2.34000000	2.34000000
Global	93932	3.55000000	3.55000000
Global	93934	1.78000000	1.78000000
Global	93935	3.01000000	3.01000000
Global	93936	2.29000000	2.29000000
Global	94202	1.27000000	1.27000000
Global	94206	1.44000000	1.44000000
Global	94207	2.08000000	2.08000000
Global	94211	1.79000000	1.79000000
Global	94212	3.68000000	3.68000000
Global	94213	3.94000000	3.94000000
Global	94214	3.76000000	3.76000000
Global	94215	2.19000000	2.19000000
Global	94216	1.42000000	1.42000000
Global	94217	3.34000000	3.34000000
Global	94218	3.43000000	3.43000000
Global	94219	2.51000000	2.51000000
Global	94226	3.00000000	3.00000000
Global	94227	2.96000000	2.96000000
Global	94231	1.29000000	1.29000000
Global	94232	2.20000000	2.20000000
Global	94497	2.46000000	2.46000000
Global	94498	1.11000000	1.11000000
Global	94503	3.27000000	3.27000000
Global	94504	3.68000000	3.68000000
Global	94505	3.61000000	3.61000000
Global	94506	4.00000000	4.00000000
Global	94507	3.20000000	3.20000000
Global	94508	1.53000000	1.53000000
Global	94512	3.04000000	3.04000000
Global	94514	2.37000000	2.37000000
Global	94521	1.90000000	1.90000000
Global	94529	1.39000000	1.39000000
Global	94790	2.93000000	2.93000000
Global	94791	3.70000000	3.70000000
Global	94792	3.09000000	3.09000000
Global	94797	1.05000000	1.05000000
Global	94798	3.27000000	3.27000000
Global	94799	3.89000000	3.89000000
Global	94800	3.14000000	3.14000000
Global	94801	3.48000000	3.48000000
Global	94802	2.21000000	2.21000000
Global	94807	1.70000000	1.70000000
Global	94808	1.21000000	1.21000000
Global	94810	1.76000000	1.76000000
Global	94811	2.44000000	2.44000000
Global	94812	2.13000000	2.13000000
Global	95085	3.76000000	3.76000000
Global	95086	3.74000000	3.74000000
