network_name,coarse_cell_id
Global,128944
Global,128950
Global,128952
Global,128953
Global,128954
Global,128955
Global,128956
Global,128957
Global,128958
Global,128959
Global,128960
Global,128966
Global,128974
Global,128975
Global,129230
Global,129231
Global,129232
Global,129233
Global,129234
Global,129235
Global,129236
Global,129237
Global,129238
Global,129239
Global,129245
Global,129248
Global,129249
Global,129250
Global,129251
Global,129252
Global,129253
Global,129254
Global,129268
Global,129527
Global,129528
Global,129529
Global,129530
Global,129531
Global,129532
Global,129533
Global,129534
Global,129539
Global,129540
Global,129543
Global,129544
Global,129545
Global,129546
Global,129547
Global,129548
Global,129553
Global,129557
Global,129558
Global,129562
Global,129823
Global,129824
Global,129825
Global,129826
Global,129827
Global,129828
Global,129829
Global,129840
Global,129841
Global,129843
Global,129844
Global,129845
Global,129846
Global,129848
Global,129849
Global,129852
Global,129853
Global,129857
Global,130118
Global,130119
Global,130120
Global,130121
Global,130122
Global,130123
Global,130124
Global,130125
Global,130132
Global,130138
Global,130139
Global,130144
Global,130150
Global,130417
Global,130418
Global,130419
Global,130420
Global,130421
Global,130422
Global,130423
Global,130429
Global,130430
Global,130433
Global,130434
Global,130438
Global,130444
Global,130712
Global,130713
Global,130714
Global,130715
Global,130716
Global,130717
Global,130718
Global,130719
Global,130733
Global,130734
Global,130735
Global,130736
Global,130739
Global,131008
Global,131009
Global,131010
Global,131011
Global,131012
Global,131013
Global,131014
Global,131015
Global,131016
Global,131019
Global,131021
Global,131024
Global,131025
Global,131028
Global,131029
Global,131030
Global,131031
Global,131032
Global,131033
Global,131034
Global,131309
Global,131310
Global,131311
Global,131312
Global,131313
Global,131317
Global,131318
Global,131319
Global,131320
Global,131323
Global,131327
Global,131328
Global,131329
Global,131607
Global,131608
Global,131609
Global,131610
Global,131611
Global,131612
Global,131613
Global,131614
Global,131615
Global,131619
Global,131620
Global,131622
Global,131902
Global,131903
Global,131904
Global,132197
Global,132198
Global,132199
Global,132200
Global,132201
Global,132494
Global,132495
Subarea1,115721
Subarea1,115724
Subarea1,116018
Subarea1,116019
Subarea1,116020
Subarea1,116313
Subarea1,116314
Subarea1,116902
Subarea1,117197
Subarea1,117489
Subarea1,117784
Subarea1,117785
Subarea1,118077
Subarea1,118372
Subarea1,118664
Subarea1,118665
Subarea1,118666
Subarea1,118667
Subarea1,118958
Subarea1,118959
Subarea1,119254
Subarea1,119550
Subarea1,119843
Subarea1,119844
Subarea1,120138
Subarea1,120139
Subarea1,120434
Subarea1,120729
Subarea1,121023
Subarea1,121024
Subarea1,121025
Subarea1,121318
Subarea1,121319
Subarea1,121320
Subarea1,121613
Subarea1,123325
Subarea1,123326
Subarea1,123619
Subarea1,123620
Subarea1,123621
Subarea1,123622
Subarea1,123669
Subarea1,123917
