coarse_cell_id	landuse	restored_ha	biodiversity	existing_nature_contact_edges
79710	ForestDryPoor	3.20000000	344.14323189	2.00000000
79711	ForestDryPoor	2.12000000	207.77186902	0.00000000
79995	ForestDryPoor	2.57000000	465.97603644	4.00000000
79996	ForestDryPoor	1.97000000	383.89053742	13.00000000
79997	ForestDryPoor	1.22000000	251.72348204	0.00000000
80002	ForestDryPoor	3.21000000	767.27032985	15.00000000
80003	ForestDryPoor	3.04000000	686.37146006	0.00000000
80004	ForestDryPoor	1.13000000	214.65688270	14.00000000
80005	ForestDryPoor	1.84000000	245.34845063	13.00000000
80006	ForestDryPoor	3.82000000	400.25422886	1.00000000
80291	ForestDryPoor	1.94000000	296.13706884	35.00000000
80293	ForestDryPoor	1.40000000	331.31011332	63.00000000
80295	ForestDryPoor	2.13000000	647.88325714	3.00000000
80296	ForestDryPoor	1.56000000	437.90694752	0.00000000
80297	ForestDryPoor	1.07000000	276.49845407	49.00000000
80298	ForestDryPoor	2.06000000	468.27709684	42.00000000
80299	ForestDryPoor	3.40000000	637.58582085	0.00000000
80300	ForestDryPoor	3.45000000	486.03145097	8.00000000
80301	ForestDryPoor	1.95000000	194.22225039	37.00000000
80302	ForestDryPoor	3.63000000	298.49829162	21.00000000
80303	ForestDryPoor	2.92000000	250.83674889	15.00000000
80587	ForestDryPoor	2.13000000	419.72330191	0.00000000
80588	ForestDryPoor	1.88000000	480.09365964	5.00000000
80589	ForestDryPoor	1.91000000	523.12133825	21.00000000
80591	ForestDryPoor	1.04000000	309.55214306	0.00000000
80592	ForestDryPoor	1.23000000	351.82480367	0.00000000
80594	ForestDryPoor	1.00000000	186.03274268	9.00000000
80595	ForestDryPoor	2.35000000	325.73797600	21.00000000
80596	ForestDryPoor	3.48000000	489.98989043	19.00000000
80597	ForestDryPoor	3.23000000	456.43350219	0.00000000
80598	ForestDryPoor	3.76000000	540.50586085	0.00000000
80599	ForestDryPoor	2.15000000	276.87927159	0.00000000
80886	ForestDryPoor	1.25000000	342.31798200	0.00000000
80891	ForestDryPoor	1.58000000	218.07982895	24.00000000
80892	ForestDryPoor	1.85000000	261.22243223	16.00000000
80893	ForestDryPoor	1.34000000	202.51245394	8.00000000
80894	ForestDryPoor	2.40000000	343.09878302	18.00000000
80895	ForestDryPoor	2.21000000	224.05545382	0.00000000
80896	ForestDryPoor	1.39000000	128.53001557	0.00000000
81177	ForestDryPoor	1.30000000	248.28589888	0.00000000
81178	ForestDryPoor	1.18000000	269.32720000	18.00000000
81182	ForestDryPoor	1.64000000	298.70199954	0.00000000
81183	ForestDryPoor	1.66000000	240.79625643	0.00000000
81191	ForestDryPoor	2.34000000	244.92045433	0.00000000
81192	ForestDryPoor	3.51000000	388.29845238	0.00000000
81193	ForestDryPoor	1.92000000	219.66729200	0.00000000
81194	ForestDryPoor	1.22000000	178.92932556	0.00000000
81476	ForestDryPoor	3.20000000	645.00475216	0.00000000
81477	ForestDryPoor	2.08000000	371.39173449	0.00000000
81479	ForestDryPoor	1.04000000	81.85140397	10.00000000
81480	ForestDryPoor	1.59000000	161.34574095	76.00000000
81481	ForestDryPoor	2.56000000	318.65485973	7.00000000
81488	ForestDryPoor	1.96000000	307.24415823	4.00000000
81489	ForestDryPoor	1.66000000	299.05084390	0.00000000
81771	ForestDryPoor	2.48000000	380.33824664	0.00000000
81772	ForestDryPoor	2.86000000	401.83129506	0.00000000
81773	ForestDryPoor	1.31000000	155.32721877	0.00000000
81774	ForestDryPoor	1.51000000	140.94934360	0.00000000
81776	ForestDryPoor	3.54000000	349.61804076	0.00000000
82067	ForestDryPoor	1.76000000	226.26034835	0.00000000
82068	ForestDryPoor	2.17000000	233.59136830	0.00000000
82069	ForestDryPoor	1.40000000	164.80590000	0.00000000
82070	ForestDryPoor	1.16000000	124.22453133	0.00000000
82071	ForestDryPoor	2.82000000	191.40616950	0.00000000
82363	ForestDryPoor	1.49000000	250.87213387	0.00000000
82365	ForestDryPoor	2.12000000	399.49644101	0.00000000
82366	ForestDryPoor	2.50000000	373.32783057	0.00000000
82659	ForestDryPoor	1.55000000	383.21061891	0.00000000
82660	ForestDryPoor	2.65000000	609.64808258	0.00000000
82955	ForestDryPoor	1.44000000	374.49690606	0.00000000
83841	ForestDryPoor	1.85000000	378.44873424	7.00000000
83842	ForestDryPoor	1.94000000	266.36178752	2.00000000
83843	ForestDryPoor	1.40000000	109.40776092	38.00000000
83849	ForestDryPoor	2.07000000	168.92042393	12.00000000
84136	ForestDryPoor	2.61000000	501.03774699	33.00000000
84137	ForestDryPoor	3.75000000	502.87005933	0.00000000
84138	ForestDryPoor	1.53000000	143.67123568	10.00000000
84430	ForestDryPoor	2.24000000	490.10422144	38.00000000
84431	ForestDryPoor	4.00000000	684.03114282	0.00000000
84432	ForestDryPoor	3.50000000	453.78699796	0.00000000
84448	ForestDryPoor	1.97000000	265.67396473	0.00000000
84449	ForestDryPoor	1.54000000	205.12150386	0.00000000
84450	ForestDryPoor	1.11000000	247.60881628	0.00000000
84731	ForestDryPoor	2.00000000	258.02475377	38.00000000
84734	ForestDryPoor	1.92000000	201.24210433	0.00000000
84742	ForestDryPoor	3.27000000	485.65365138	0.00000000
84743	ForestDryPoor	2.66000000	361.75588699	0.00000000
84744	ForestDryPoor	2.83000000	375.93765121	0.00000000
84745	ForestDryPoor	1.13000000	150.46324703	0.00000000
84746	ForestDryPoor	1.66000000	251.45630708	0.00000000
85022	ForestDryPoor	1.51000000	265.76346047	27.00000000
85027	ForestDryPoor	2.97000000	418.57175447	5.00000000
85028	ForestDryPoor	2.92000000	390.85819942	0.00000000
85029	ForestDryPoor	2.28000000	375.76248925	3.00000000
85030	ForestDryPoor	2.35000000	434.61981758	0.00000000
