coarse_cell_id,landuse,RestorableAreaHa
26535,ForestDryPoor,2.6800000000000024
26536,ForestDryPoor,3.230000000000003
26538,ForestDryPoor,3.610000000000003
26778,ForestDryPoor,1.7500000000000016
26779,ForestDryPoor,1.9800000000000015
26780,ForestDryPoor,1.3000000000000012
26782,ForestDryPoor,1.8200000000000016
26783,ForestDryPoor,3.940000000000003
26784,ForestDryPoor,3.980000000000003
26785,ForestDryPoor,3.540000000000003
26786,ForestDryPoor,3.980000000000003
26787,ForestDryPoor,3.960000000000003
26788,ForestDryPoor,3.980000000000003
26789,ForestDryPoor,3.770000000000003
26790,ForestDryPoor,3.810000000000003
26791,ForestDryPoor,3.8900000000000032
26792,ForestDryPoor,3.9700000000000033
26793,ForestDryPoor,3.910000000000004
26794,ForestDryPoor,4.0000000000000036
26795,ForestDryPoor,3.9700000000000033
26796,ForestDryPoor,3.900000000000003
26797,ForestDryPoor,4.0000000000000036
26798,ForestDryPoor,3.980000000000003
26799,ForestDryPoor,3.8400000000000034
26800,ForestDryPoor,3.9700000000000033
26801,ForestDryPoor,4.0000000000000036
26802,ForestDryPoor,3.7600000000000033
26803,ForestDryPoor,3.280000000000003
26804,ForestDryPoor,1.4100000000000013
26816,ForestDryPoor,3.260000000000003
26821,ForestDryPoor,3.2900000000000027
26822,ForestDryPoor,2.9200000000000026
26823,ForestDryPoor,3.770000000000003
26824,ForestDryPoor,3.8200000000000034
26825,ForestDryPoor,3.750000000000003
26826,ForestDryPoor,3.920000000000003
26828,ForestDryPoor,3.850000000000003
26830,ForestDryPoor,3.860000000000003
26831,ForestDryPoor,1.9000000000000017
26832,ForestDryPoor,3.1200000000000028
26833,ForestDryPoor,3.6400000000000032
26834,ForestDryPoor,3.910000000000004
27075,ForestDryPoor,3.0800000000000027
27076,ForestDryPoor,3.6600000000000033
27095,ForestDryPoor,1.8700000000000017
27112,ForestDryPoor,1.160000000000001
27114,ForestDryPoor,1.140000000000001
27120,ForestDryPoor,1.250000000000001
27121,ForestDryPoor,3.2900000000000027
27122,ForestDryPoor,3.0400000000000027
27123,ForestDryPoor,2.300000000000002
27124,ForestDryPoor,2.0900000000000016
27125,ForestDryPoor,1.9000000000000017
27127,ForestDryPoor,3.770000000000003
27128,ForestDryPoor,3.8900000000000032
27129,ForestDryPoor,3.910000000000004
27130,ForestDryPoor,3.900000000000003
27400,ForestDryPoor,1.060000000000001
27423,ForestDryPoor,3.190000000000003
27424,ForestDryPoor,1.6600000000000017
27425,ForestDryPoor,1.4400000000000013
27426,ForestDryPoor,2.7000000000000024
27657,ForestDryPoor,1.220000000000001
27675,ForestDryPoor,3.870000000000004
27696,ForestDryPoor,3.3900000000000032
27711,ForestDryPoor,1.7000000000000015
27946,ForestDryPoor,1.210000000000001
27948,ForestDryPoor,1.6500000000000017
27955,ForestDryPoor,2.6200000000000023
27963,ForestDryPoor,3.870000000000004
27971,ForestDryPoor,1.4600000000000013
27973,ForestDryPoor,1.3200000000000012
27983,ForestDryPoor,2.0100000000000016
27986,ForestDryPoor,2.020000000000002
27990,ForestDryPoor,2.8600000000000025
27992,ForestDryPoor,3.0200000000000027
28003,ForestDryPoor,1.7700000000000016
28004,ForestDryPoor,3.0900000000000025
28266,ForestDryPoor,1.020000000000001
28288,ForestDryPoor,1.4000000000000012
28289,ForestDryPoor,2.570000000000002
28290,ForestDryPoor,1.8100000000000016
28296,ForestDryPoor,3.0100000000000025
28592,ForestDryPoor,1.3400000000000012
28593,ForestDryPoor,2.9200000000000026
28855,ForestDryPoor,3.6600000000000033
28894,ForestDryPoor,3.0600000000000027
29143,ForestDryPoor,2.8300000000000027
29153,ForestDryPoor,1.9200000000000017
29390,ForestDryPoor,3.110000000000003
29393,ForestDryPoor,1.7400000000000015
29394,ForestDryPoor,3.8400000000000034
29447,ForestDryPoor,2.9300000000000024
29473,ForestDryPoor,3.5500000000000034
29474,ForestDryPoor,3.5100000000000033
29478,ForestDryPoor,1.8700000000000017
29479,ForestDryPoor,1.9200000000000017
29685,ForestDryPoor,2.910000000000003
29688,ForestDryPoor,3.5900000000000034
29689,ForestDryPoor,3.320000000000003
29690,ForestDryPoor,3.210000000000002
29691,ForestDryPoor,1.3800000000000012
29733,ForestDryPoor,2.6200000000000023
29981,ForestDryPoor,2.490000000000002
29982,ForestDryPoor,2.8500000000000023
30035,ForestDryPoor,1.7300000000000015
30036,ForestDryPoor,1.8900000000000017
30065,ForestDryPoor,3.870000000000004
30271,ForestDryPoor,1.160000000000001
30272,ForestDryPoor,3.220000000000003
30273,ForestDryPoor,1.040000000000001
30274,ForestDryPoor,1.190000000000001
30276,ForestDryPoor,1.6900000000000015
30279,ForestDryPoor,1.4100000000000013
30566,ForestDryPoor,3.190000000000003
30568,ForestDryPoor,3.110000000000003
30569,ForestDryPoor,2.9000000000000026
30622,ForestDryPoor,1.5900000000000014
30657,ForestDryPoor,2.730000000000002
30859,ForestDryPoor,1.030000000000001
30860,ForestDryPoor,1.6500000000000017
30861,ForestDryPoor,3.870000000000004
30862,ForestDryPoor,3.0200000000000027
30863,ForestDryPoor,2.370000000000002
30904,ForestDryPoor,1.8700000000000017
31156,ForestDryPoor,1.4000000000000012
31158,ForestDryPoor,4.0000000000000036
31160,ForestDryPoor,2.570000000000002
31165,ForestDryPoor,1.040000000000001
31166,ForestDryPoor,1.190000000000001
31449,ForestDryPoor,2.400000000000002
31450,ForestDryPoor,1.8100000000000016
31451,ForestDryPoor,3.1200000000000028
31452,ForestDryPoor,2.8100000000000023
31453,ForestDryPoor,2.980000000000002
31454,ForestDryPoor,2.0000000000000018
31455,ForestDryPoor,3.850000000000003
31456,ForestDryPoor,1.9600000000000015
31505,ForestDryPoor,1.7700000000000016
31746,ForestDryPoor,1.140000000000001
31747,ForestDryPoor,1.5400000000000014
31748,ForestDryPoor,2.370000000000002
31749,ForestDryPoor,3.650000000000003
31750,ForestDryPoor,3.870000000000004
31751,ForestDryPoor,3.8400000000000034
31759,ForestDryPoor,1.7900000000000016
31797,ForestDryPoor,1.090000000000001
31798,ForestDryPoor,1.480000000000001
32042,ForestDryPoor,2.8600000000000025
32044,ForestDryPoor,3.980000000000003
32045,ForestDryPoor,3.730000000000003
32046,ForestDryPoor,3.540000000000003
32048,ForestDryPoor,1.180000000000001
32333,ForestWetRich,2.460000000000002
32338,ForestDryPoor,2.460000000000002
32340,ForestDryPoor,1.4300000000000013
32341,ForestDryPoor,1.9100000000000017
32342,ForestDryPoor,1.050000000000001
32629,OpenWetRich,2.100000000000002
32633,ForestDryPoor,2.340000000000002
32634,ForestDryPoor,2.160000000000002
32635,ForestDryPoor,2.7600000000000025
32636,ForestDryPoor,2.440000000000002
32927,ForestDryPoor,1.5900000000000014
32928,ForestDryPoor,3.560000000000003
32929,ForestDryPoor,2.8000000000000025
32930,ForestDryPoor,2.020000000000002
32931,ForestDryPoor,1.9400000000000015
32932,ForestDryPoor,2.2700000000000022
33217,ForestDryPoor,2.5100000000000025
33218,ForestDryPoor,1.5700000000000014
33219,ForestDryPoor,2.530000000000002
33222,ForestDryPoor,3.4300000000000033
33223,ForestDryPoor,1.3700000000000012
33224,ForestDryPoor,2.7900000000000027
33512,ForestDryPoor,2.150000000000002
33513,ForestDryPoor,2.070000000000002
33514,ForestDryPoor,1.8300000000000016
33516,ForestDryPoor,2.7400000000000024
33517,ForestDryPoor,3.200000000000003
33518,ForestDryPoor,3.500000000000003
33521,ForestDryPoor,3.270000000000003
33809,ForestDryPoor,2.400000000000002
33810,ForestDryPoor,1.7800000000000016
33811,ForestDryPoor,4.0000000000000036
33812,ForestDryPoor,3.940000000000003
33813,ForestDryPoor,2.5100000000000025
33815,ForestDryPoor,3.580000000000003
34104,ForestDryPoor,2.420000000000002
34105,ForestDryPoor,2.100000000000002
34107,ForestDryPoor,3.8200000000000034
34108,ForestDryPoor,3.0400000000000027
34402,ForestDryPoor,3.770000000000003
34403,ForestDryPoor,3.5100000000000033
34404,ForestDryPoor,2.8900000000000023
34985,ForestDryPoor,3.1000000000000028
34991,ForestDryPoor,1.8600000000000017
35280,ForestDryPoor,3.460000000000003
35286,ForestDryPoor,3.580000000000003
35574,ForestDryPoor,3.460000000000003
35575,ForestDryPoor,2.610000000000002
35580,ForestDryPoor,2.6800000000000024
35582,ForestDryPoor,3.920000000000003
35854,ForestDryPoor,1.6800000000000015
35855,ForestDryPoor,3.4300000000000033
35856,ForestDryPoor,3.0200000000000027
35857,ForestDryPoor,1.2600000000000011
35867,ForestDryPoor,1.7300000000000015
35868,ForestDryPoor,3.770000000000003
35869,ForestDryPoor,3.310000000000003
35874,ForestDryPoor,1.5600000000000014
35876,ForestDryPoor,3.3900000000000032
35877,ForestDryPoor,2.2500000000000018
35878,ForestDryPoor,3.0500000000000025
36151,ForestDryPoor,3.920000000000003
36152,ForestDryPoor,2.6800000000000024
36163,ForestDryPoor,2.9300000000000024
