reclass,Value1,Value2,Count,C_01,SN_Source,SN_NatureTypeCode,C_02,C_03,C_05,C_06,SN_Overall_LandCover,SN_Sub1_NatureLandCover,SN_Sub2_NatureLandCover,SN_Exclude_Modelling,SN_Suitability,SN_ModelClass,SN_Combined_Cat,SN_ForestOpen,ForestShrubOpen,SN_Wet_Dry,SN_Wet_Medium_Dry,SN_Rich_Poor,SN_Calcarious_Acidic,SN_SoilType,SN_Non_native,SN_Deciduous_Coniferous,Coastal_Inland,Comments
9,24,24,267137,50991900,TBD,TBD,Vådområde,Wetland,"322000 Natur, våd","322000 Nature, wet",Open wet,"Wet meadows, bogs and springs","Wet meadows, bogs and springs",Exclude?,Exclude,Exclude,Open wet,Open,Open,Wet,Wet,NA,NA,NA,Native,NA,NA,"Could be other open, closed and rich/poor. If small area then consider excluding. "
12,25,25,36283,10200200,,,Areal omkring bebyggelse,Area surrounding buildings,124000 Andet bebyggelse,124000 Other built up,Building and infrastructure,NoLowTerrestialNature,NoLowTerrestialNature,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
3,26,26,246993,10320400,TBD,TBD,"Slette, Overdrev (Slette)",Plain,"321000 Natur, tør","321000 Nature, dry",Open dry,Potential grassland,"Grassland, heath and potential grassland",Include,DryBoth,OpenDryBoth,Open dry,Open,Open,Dry,Dry,Both,Both,,Native,NA,Both,Expected to be biological grasslands (overdrev). But unclear from the description. Could be considered excluded. 
12,27,27,28712,50990115,,,"Teknisk areal, Militært anlæg","Technical area, Military site",124000 Andet bebyggelse,124000 Other built up,Building and infrastructure,NoLowTerrestialNature,NoLowTerrestialNature,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1,28,28,27925,10610200,,,Løvtræ uden særlig kode,Not specified deciduous tree,311000 Skov,311000 Forest,Exclude,Forest,Forest,Exclude,Exclude,Exclude,Exclude,Forest,,Exclude,Exclude,Exclude,Exclude,,Exclude,Deciduous,Indiff,
12,29,29,11920,50990115,,,"Teknisk areal, Militært anlæg","Technical area, Military site",124000 Andet bebyggelse,124000 Other built up,Building and infrastructure,NoLowTerrestialNature,NoLowTerrestialNature,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
13,30,30,3800516,50996501,,,"Vandløbsmidte, 2,5 - 12 m bredde","Stream centreline, 2.5 - 12 m width",412000 Vandløb,412000 Stream,Freshwater,Water,Water,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1,31,31,41855720,50991700,,,Skov,Forest,311000 Skov,311000 Forest,Exclude,Forest,Forest,Exclude,Exclude,Exclude,Exclude,Forest,,Exclude,Exclude,Exclude,Exclude,,Exclude,Exclude,Indiff,
5,32,32,111232,10320800,TBD,TBD,Strandbred,Beach,"321000 Natur, tør","321000 Nature, dry",Open dry,Coastal meadows and related habitats,Coastal meadows and related habitats,Exclude?,Exclude,Exclude,Open dry,Open,Open,Dry,Moist,Both,Both ,,Native,NA,Coastal,"Are unlikely to develop on former field transformed to nature. Hence, could potentially be excluded. "
11,33,33,6663956,50600000,,,Land,Land,800000 Ikke kortlagt,800000 Unmapped,NA,NA,NA,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7,34,34,76700,10612800,TBD,TBD,Krat,Scrub,311000 Skov,311000 Forest,Shrub,Shrub,Shrub,Exclude,Exclude,Exclude,Shrub,NA,Shrub,NA,NA,NA,NA,NA,NA,NA,,
12,35,35,13068,50990116,,,"Teknisk areal, Parkeringsanlæg","Technical area, Car park",124000 Andet bebyggelse,124000 Other built up,Building and infrastructure,NoLowTerrestialNature,NoLowTerrestialNature,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
12,36,36,214795,50990118,,,"Teknisk areal, Ukendt","Technical area, Unknown",124000 Andet bebyggelse,124000 Other built up,Building and infrastructure,NoLowTerrestialNature,NoLowTerrestialNature,Exclude,Exclude,Exclude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
