Taxa,currentCanonicalFull,usageKey,acceptedUsageKey,speciesKey,confidence,matchType,status,canonicalName,scientificName,kingdom,phylum,class,order,family,genus,species,rank,gbif_speciesKey
Sarcopodium circinatum,Sarcopodium circinatum,5257951,NA,5257951,99,EXACT,ACCEPTED,Sarcopodium circinatum,Sarcopodium circinatum Ehrenb.,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Sarcopodium,Sarcopodium circinatum,SPECIES,5257951
Sarcoptes scabiei,Sarcoptes scabiei,9660512,NA,9660512,98,EXACT,ACCEPTED,Sarcoptes scabiei,"Sarcoptes scabiei (DeGeer, 1778)",Animalia,Arthropoda,Arachnida,Sarcoptiformes,Sarcoptidae,Sarcoptes,Sarcoptes scabiei,SPECIES,9660512
Sarcopyrenia gibba,Sarcopyrenia gibba,2569521,NA,2569521,99,EXACT,ACCEPTED,Sarcopyrenia gibba,Sarcopyrenia gibba (Nyl.) Nyl.,Fungi,Ascomycota,Sordariomycetes,NA,NA,Sarcopyrenia,Sarcopyrenia gibba,SPECIES,2569521
Sarcosagium campestre,Sarcosagium campestre,10986707,NA,10986707,99,EXACT,ACCEPTED,Sarcosagium campestre,Sarcosagium campestre (Fr.) Poetsch & Schied.,Fungi,Ascomycota,NA,Thelocarpales,Thelocarpaceae,Sarcosagium,Sarcosagium campestre,SPECIES,10986707
Sarcoscypha austriaca,Sarcoscypha austriaca,8689016,NA,8689016,99,EXACT,ACCEPTED,Sarcoscypha austriaca,Sarcoscypha austriaca (Beck ex Sacc.) Boud.,Fungi,Ascomycota,Pezizomycetes,Pezizales,Sarcoscyphaceae,Sarcoscypha,Sarcoscypha austriaca,SPECIES,8689016
Sarcoscypha coccinea,Sarcoscypha coccinea,8156721,NA,8156721,97,EXACT,ACCEPTED,Sarcoscypha coccinea,Sarcoscypha coccinea (Jacq.) Lambotte,Fungi,Ascomycota,Pezizomycetes,Pezizales,Sarcoscyphaceae,Sarcoscypha,Sarcoscypha coccinea,SPECIES,8156721
Sarcosphaera coronaria,Sarcosphaera coronaria,2594999,NA,2594999,98,EXACT,ACCEPTED,Sarcosphaera coronaria,Sarcosphaera coronaria (Jacq.) J.Schröt.,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Sarcosphaera,Sarcosphaera coronaria,SPECIES,2594999
Sarcotrochila alpina,Sarcotrochila alpina,2580576,NA,2580576,99,EXACT,ACCEPTED,Sarcotrochila alpina,Sarcotrochila alpina (Fuckel) Höhn.,Fungi,Ascomycota,Leotiomycetes,Helotiales,Cenangiaceae,Sarcotrochila,Sarcotrochila alpina,SPECIES,2580576
Sarda sarda,Sarda sarda,5208593,NA,5208593,99,EXACT,ACCEPTED,Sarda sarda,"Sarda sarda (Bloch, 1793)",Animalia,Chordata,NA,Perciformes,Scombridae,Sarda,Sarda sarda,SPECIES,5208593
Sardina pilchardus,Sardina pilchardus,2413224,NA,2413224,99,EXACT,ACCEPTED,Sardina pilchardus,"Sardina pilchardus (Walbaum, 1792)",Animalia,Chordata,NA,Clupeiformes,Clupeidae,Sardina,Sardina pilchardus,SPECIES,2413224
Sardinidion blackwalli,Sardinidion blackwalli,4550741,NA,4550741,99,EXACT,ACCEPTED,Sardinidion blackwalli,"Sardinidion blackwalli (O.Pickard-Cambridge, 1871)",Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Sardinidion,Sardinidion blackwalli,SPECIES,4550741
Sarea difformis,Sarea difformis,5260440,NA,5260440,99,EXACT,ACCEPTED,Sarea difformis,Sarea difformis (Fr.) Fr.,Fungi,Ascomycota,Sareomycetes,Sareales,Sareaceae,Sarea,Sarea difformis,SPECIES,5260440
Sargassum muticum,Sargassum muticum,3197314,NA,3197314,97,EXACT,ACCEPTED,Sargassum muticum,Sargassum muticum (Yendo) Fensholt,Chromista,Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Sargassum,Sargassum muticum,SPECIES,3197314
Sargus bipunctatus,Sargus bipunctatus,8306271,NA,8306271,99,EXACT,ACCEPTED,Sargus bipunctatus,"Sargus bipunctatus (Scopoli, 1763)",Animalia,Arthropoda,Insecta,Diptera,Stratiomyidae,Sargus,Sargus bipunctatus,SPECIES,8306271
