patch_id,ExistingPatchAreaHa
64004,0.01
64012,0.03
64032,0.12
64041,0.2
64154,5.47
64198,0.72
64204,0.59
64205,1.47
64224,9.39
64256,0.73
64278,0.52
64347,1.88
64426,9.36
64436,2.66
64439,0.21
64504,0.41
64563,0.86
64660,2.29
64743,0.05
64764,1.43
64779,4.69
64820,0.01
64839,0.01
64840,0.01
64853,2.28
64856,0.44
64887,0.02
64917,9.32
65014,1.62
65020,0.01
65050,0.05
65070,4.01
65071,0.05
65139,2
65148,5.78
65153,8.45
65170,0.44
65216,0.58
65229,3.66
65296,3.38
65404,0.36
65434,0.82
65458,5.49
65489,0.52
65514,0.05
65515,0.09
65524,0.01
65530,0.08
65543,2.5
65849,9.89
65883,0.49
66231,0.49
66277,0.25
66493,0.86
66693,1.09
66832,0.32
67911,0.8
68240,3.28
68264,0.01
68385,0.45
68414,6.52
68431,2.61
68540,0.01
68577,0.12
68667,0.19
68743,0.03
68753,0.02
68756,0.07
68769,0.01
68782,0.01
68948,3.64
69060,0.04
69073,0.01
69093,0.9
69105,0.05
69132,0.06
69152,6.52
69160,6.43
69162,0.03
69169,0.94
69175,0.05
69188,0.01
69195,0.01
69206,0.67
69218,0.28
69341,0.39
69349,1.22
69390,3.06
69450,8.26
69565,0.17
69597,0.01
69611,0.01
69629,0.01
69651,0.01
69655,0.43
69665,0.01
69693,0.01
69705,0.01
69707,20.92
69710,3.84
69720,0.01
69725,0.01
69747,0.01
69756,0.01
69761,7.5
69772,0.01
69804,0.04
69821,0.04
69824,0.01
69837,0.01
69861,0.11
69866,0.02
69875,6.82
69890,0.01
69891,0.01
69895,0.06
69897,0.02
69898,0.02
69925,0.02
69934,0.04
69944,0.01
69968,5.52
69981,0.85
69986,0.05
70058,0.02
70112,2.22
70139,0.17
70205,3.44
70212,1.16
70219,2.76
70226,0.54
70238,0.06
70241,0.01
70250,0.01
70257,0.01
70258,0.01
70267,0.01
70272,2.01
70284,0.39
70294,5.47
70316,0.01
70317,0.02
70321,0.6
70330,0.24
70335,0.04
70344,0.13
70399,6.53
70439,0.01
70472,5.36
70482,10.36
70497,1.46
70499,0.77
70587,4.98
70697,0.7
70767,4.19
70776,0.32
70790,32.78
70849,6.8
71349,0.47
71415,0.01
71479,4.52
71812,0.04
71837,0.42
71854,3.2
71861,0.01
71868,0.32
71927,0.72
71996,1.98
72004,1.62
72007,0.02
72018,0.01
72027,0.01
72050,0.02
72056,0.02
72061,0.09
72089,0.01
72098,0.01
72103,0.3
72105,0.04
72116,0.02
72122,0.81
72160,0.06
72219,0.49
72269,1.43
72407,4.9
72485,0.01
72534,0.04
72541,0.05
72629,1.48
72645,1.74
72671,2.2
72740,3.9
72781,12.64
72786,0.55
72839,0.04
72856,0.04
72866,0.01
72874,0.01
72882,0.01
72892,0.01
72908,0.02
72911,0.01
72917,0.01
72924,1.3
72929,0.01
72972,0.12
72983,0.01
72998,0.02
73009,0.01
73010,0.01
73016,0.01
73029,0.04
73203,2.32
73270,3.18
73319,4.31
73326,1.09
73603,0.45
73640,0.01
73651,0.01
73747,2.52
73794,0.01
73826,0.01
73842,0.01
73850,0.01
73863,0.01
73877,1.2
73900,0.01
73914,0.01
73925,0.01
73938,0.01
73966,0.08
74041,0.01
74047,0.01
74051,0.01
74060,6.55
74238,4.19
74305,0.01
74335,0.02
74341,0.29
74347,0.02
74349,0.02
74359,0.02
74364,0.02
74365,0.01
74369,0.01
74372,2.55
74381,0.01
74395,0.05
74400,0.03
74641,2.1
74973,4.91
75082,5.24
75414,0.01
75422,0.01
75428,9.17
75528,0.11
75545,0.02
75597,6.66
75962,0.01
75969,0.01
75980,0.01
75985,0.96
75991,0.01
76002,0.01
76005,2.88
76114,2.44
76160,0.37
76180,1.37
76221,0.81
76229,1.61
76353,3.81
76395,0.05
76421,0.02
76455,0.74
76485,32.57
76688,4.71
76745,3.21
76946,3.59
77033,1.39
77213,1.54
77760,0.73
77775,7.91
77803,54.19
77866,10.13
78013,0.01
78027,0.03
78036,0.01
78044,0.02
78045,5.07
78053,0.01
78108,11.97
78255,9.02
78584,0.91
78617,10.23
78633,0.07
78639,0.09
78642,0.02
78643,0.03
78644,0.05
78660,0.04
78661,0.01
78662,0.08
78663,0.03
78664,0.14
78668,3.32
78677,0.02
78678,0.01
78679,0.12
78683,0.03
78699,0.6
78704,0.12
78748,2.7
78765,2.59
78882,6.35
78901,0.02
78924,0.05
78950,0.04
78977,0.05
78984,2.93
79038,0.09
79042,1.12
79070,0.04
79129,5.74
79134,0.02
79160,0.93
79208,0.48
79339,0.98
79724,0.01
79727,28.18
79757,0.63
79763,0.01
79768,0.01
79771,0.01
79829,1.34
79902,0.86
79937,0.75
79957,7.9
79989,0.01
80007,0.02
80026,6.47
80037,6.97
80042,0.01
80093,28.77
80154,1.89
80165,0.05
80168,0.01
80173,0.63
80182,0.01
80184,0.24
80194,0.08
80206,1.69
80248,1.32
80255,0.02
80289,4.65
80327,0.17
80328,0.42
80331,0.01
80343,0.02
80362,0.78
80463,3.73
80474,15.87
80475,2.71
80581,1.83
80740,14.52
80848,0.98
80865,0.01
80920,21.35
80924,1.16
80957,2.22
80970,0.76
81001,4.28
81008,14.34
81023,0.08
81025,0.17
81029,0.04
81030,0.01
81043,0.03
81053,0.11
81055,2.62
81064,0.02
81118,0.45
81121,0.11
81160,1.13
81192,4.15
81221,1.35
81242,0.19
81269,1.1
81270,0.22
81275,0.01
81280,0.01
81291,0.01
81322,6.96
81341,0.01
81347,0.01
81358,0.01
81367,0.27
81392,9.65
81404,0.91
81405,0.18
81407,0.32
81410,0.02
81411,0.07
81420,0.01
81430,0.02
81436,0.14
81437,0.06
81438,0.02
81443,0.97
81446,0.08
81474,8.91
81477,0.89
81487,0.39
81495,1.75
81524,0.03
81532,0.01
81537,0.02
81547,0.02
81553,0.03
81563,0.02
81571,0.04
81578,0.05
81589,0.03
81596,1.46
81650,0.13
81714,0.01
81752,14.8
81788,28.04
82072,0.01
82077,0.01
82087,0.01
82133,4.99
82179,14.45
82217,0.01
82232,0.15
82238,1.29
82416,6.04
82448,0.01
82464,0.01
82466,0.17
82470,0.02
82478,0.02
82485,0.01
82494,0.01
82505,0.02
82521,0.11
82524,0.56
82532,1.27
82548,0.01
82579,1.48
82669,19.13
82677,0.58
82722,3.46
82830,2.4
82921,1.65
83070,2.88
83127,0.55
83186,9.34
83207,35.18
83222,22.1
83237,0.15
83247,0.01
83253,0.01
83295,0.01
83306,0.08
83322,0.12
83337,0.04
83347,0.01
83370,0.01
83372,2.02
83384,6.33
83405,8.82
83477,0.12
83480,0.01
83491,0.01
83523,0.01
83530,0.61
83535,0.01
83549,0.01
83557,0.01
83566,0.01
83574,0.01
83606,0.01
83616,0.01
83619,2.36
83631,0.03
83692,2.39
83738,0.59
83748,0.57
83853,0.04
84154,7.01
84281,1.78
84306,0.29
84433,2.05
84554,0.03
84616,1.14
84617,0.05
84625,0.62
84660,0.08
84709,0.28
84715,0.29
84737,0.56
84753,0.01
84760,0.01
84762,13.51
84767,0.64
84769,0.24
84782,0.01
84788,0.13
84802,0.1
84805,0.23
84811,0.11
84815,0.01
84818,3.36
84844,0.08
84861,0.71
84868,0.29
84875,0.97
84967,0.11
84997,0.01
85017,0.04
85043,0.04
85049,4.78
85052,0.01
85055,2
85057,0.12
85066,0.02
85093,0.01
85113,2.35
85127,3.99
85143,1.33
85146,0.01
85150,1.8
85151,0.81
85155,0.01
85203,0.47
85212,0.03
85213,1.38
85289,0.23
85308,8.78
85353,0.03
85355,0.45
85377,8.83
85465,8.61
85472,12.94
85491,0.01
85509,5.28
85531,0.06
85547,0.08
85564,0.82
85571,1.38
85586,0.69
85608,0.05
85684,0.65
85704,34.94
85733,0.92
85736,2.85
85751,2.96
85754,0.09
85773,0.01
85845,0.15
85853,3.53
85856,0.16
85860,0.01
85864,2.98
85873,0.07
85874,0.01
85921,0.14
85925,0.71
85929,0.01
86011,5.25
86073,2.22
86088,4.9
86116,1.59
86117,0.31
86217,8.04
86265,15.92
86402,5.5
86661,2.13
86715,0.88
86723,10.01
86832,2.94
86875,3.08
86922,0.01
86940,0.01
86948,15.35
86965,0.01
86978,5.71
87028,9.94
87050,7.64
87085,10.48
87282,3.17
87317,10.23
87391,1.21
87431,5.17
87495,0.78
87632,8.34
87660,1.35
87781,0.17
87806,1.8
87839,3.13
87969,21.98
88018,2.49
88263,3.73
88305,20.87
88494,0.24
88827,0.16
89832,6.99
89904,8.84
90011,0.04
90019,0.01
90028,0.01
90056,0.04
90067,0.01
90191,0.01
90204,0.01
90216,15.35
90223,0.06
90306,0.21
90468,0.31
90516,1.89
90679,0.01
90682,35.82
90705,0.01
90738,0.01
90905,30.05
90956,2.25
90978,0.02
91021,0.37
91064,2.83
91076,8.37
91092,1.28
91211,0.85
91237,21.96
91348,4.43
91359,0.01
91386,0.07
91394,0.55
91397,0.04
91411,0.06
91446,0.21
91458,0.12
91500,0.05
91555,0.01
91628,0.87
91696,6.63
91731,0.07
91733,29.98
91795,5.38
91811,0.15
91829,0.01
91839,0.16
91853,0.15
91864,0.85
91905,0.01
91917,0.01
91919,0.95
91921,0.25
92003,0.82
92005,0.01
92010,0.96
92044,11.26
92052,0.21
92094,0.75
92099,0.01
92119,0.01
92135,0.01
92185,24.93
92189,0.01
92199,11.67
92206,9.51
92237,0.01
92242,0.1
92243,0.01
92245,5.44
92257,0.01
92309,0.04
92312,0.46
92319,65.82
92321,1.18
92337,0.01
92342,0.01
92350,0.02
92360,0.65
92377,0.64
92395,0.19
92474,4.9
92499,0.87
92704,11.11
92705,1.83
92741,0.51
92833,2.67
92850,0.01
92888,0.11
92897,0.01
92904,2.07
92907,1.8
92956,3.66
92960,0.44
92997,2.45
93019,0.07
93059,1.2
93074,0.01
93082,0.01
93089,0.01
93103,4.16
93131,0.05
93140,3.17
93184,66.07
93193,9.78
93194,0.49
93200,0.01
93241,0.05
93318,16.3
93324,0.43
93347,3.51
93353,85.94
93363,0.11
93465,0.01
93473,9.98
93476,1.04
93492,0.01
93499,0.03
93502,0.04
93505,0.02
93538,0.16
93547,0.11
93566,0.14
93575,0.03
93626,0.01
93650,0.02
93655,13.51
93665,0.01
93680,0.01
93688,0.01
93706,0.02
93710,0.33
93729,0.05
93756,0.01
93790,12.85
93936,41.06
94076,0.01
94104,6.53
94169,0.01
94177,0.03
94206,0.02
94236,2.03
94241,1.14
94250,0.01
94259,0.01
94269,0.01
94316,0.02
94341,0.43
94369,0.01
94402,0.08
94415,0.56
94460,0.12
94495,1.25
94519,27.93
94530,1.76
94544,2.28
94555,0.79
94581,2.75
94682,0.01
94703,0.97
94722,0.3
94760,0.1
95016,2.08
95048,2.79
95161,0.01
95167,3.04
95208,11.32
95249,0.01
95273,0.01
95296,2.01
95346,0.01
95353,8.94
95358,0.01
95366,0.01
95379,0.01
95410,3.75
95436,0.19
95512,0.56
95569,0.17
95576,0.06
95703,8.48
95741,3.39
95775,0.01
95784,0.01
95792,1.29
95891,0.82
95892,0.52
95906,0.01
96010,0.51
96023,0.12
96034,0.01
96043,0.01
96049,0.01
96061,0.01
96062,0.01
96063,0.02
96064,0.01
96084,0.02
96091,0.04
96095,0.01
96106,2.8
96149,0.1
96298,50.82
96310,0.18
96797,0.41
97063,1.11
97254,0.01
97316,20.8
97400,20.75
97574,0.14
97632,0.03
97636,0.56
97648,2.97
97698,1.82
97766,0.27
97788,0.09
97797,0.29
97814,0.01
97826,0.01
97830,40.74
97855,0.05
97916,0.89
97947,0.01
98042,3.92
98059,17.52
98085,0.27
98507,2.94
98642,1.36
98829,12.71
98972,0.01
99051,15.8
99173,0.09
99185,0.01
99191,3
99214,0.39
99230,0.01
99335,15.88
99788,0.18
99812,0.62
99843,0.09
99902,0.06
99957,1.02
100008,0.81
100098,0.01
100209,38.16
100506,0.28
100519,0.01
100587,0.5
100625,30.3
100650,19.95
100822,0.55
100874,0.41
100892,0.03
100935,0.19
100941,0.01
100951,0.01
100974,0.02
100979,0.57
100986,0.01
100987,0.01
100996,0.01
101005,0.01
101030,0.07
101032,0.04
101052,0.02
101120,0.04
101130,0.01
101151,0.01
101168,0.01
101207,0.28
101221,0.02
101228,0.26
101231,0.01
101237,0.39
101247,0.02
101257,0.03
101260,0.01
101287,0.18
101300,0.01
101456,0.62
101533,0.08
101538,0.09
101547,0.35
101580,0.49
101791,0.5
101980,0.02
101982,0.09
101990,0.01
102064,0.21
102127,0.01
102263,0.59
102281,2.4
102357,1.69
102445,1.79
102468,0.41
102474,0.02
102497,0.12
102533,0.01
102546,0.45
102604,3.03
102707,0.46
102803,0.55
102936,4.12
103226,0.01
103532,1.91
103544,0.06
103580,0.03
103661,0.18
103980,1.76
104015,0.01
104065,0.01
104073,0.01
104097,0.58
104237,0.32
104364,17.13
104638,2.07
104654,0.47
104712,8.88
104802,0.05
104845,5.34
104912,14.55
104915,1.34
104948,0.01
105111,4.49
105117,1.02
105511,2.25
105872,0.88
106002,7.58
106010,0.71
106126,0.65
106335,0.59
106635,0.01
106640,28.8
107038,0.01
107055,0.01
107069,0.01
107153,2.15
107413,0.68
107549,1.06
107568,1.66
107716,1.65
107720,0.01
107940,0.01
107948,0.03
107957,0.01
107965,0.01
107972,18.05
107976,0.06
107977,0.01
107982,0.01
107992,0.02
108191,6
108207,0.1
108208,0.3
108209,0.03
108251,0.53
108261,0.01
108274,0.01
108283,0.01
108302,0.01
108310,0.01
108320,7.41
108321,0.71
108327,0.01
108329,2.59
108333,0.25
109138,0.68
109150,15.17
109155,0.01
109210,0.23
109215,0.12
109219,0.01
109240,0.01
109464,1.04
109655,0.01
109749,0.01
109821,73.74
109852,8.38
109879,0.05
109970,2.71
110110,1.41
110122,0.01
110135,0.02
110314,2.54
110417,0.41
110465,0.61
110476,0.08
110564,7.78
110573,42.52
110625,0.01
110637,0.01
110707,0.01
110798,16.53
111003,0.01
111012,0.01
111019,0.01
111029,4.45
111064,0.04
111081,0.01
111114,0.02
111126,5.17
111130,0.01
111194,20.95
111283,0.53
111379,2.8
111424,2.25
111540,1.54
111613,1.53
111660,0.01
111665,8.88
111669,0.03
111678,0.01
111719,1.07
111863,0.74
111907,0.03
111915,0.01
111923,0.01
111960,0.45
112039,2.31
112077,24.64
112111,0.01
112116,0.51
112213,4.84
112757,0.29
112960,0.01
112962,11.36
112975,17.28
113129,0.02
113137,17.37
113141,0.01
113155,0.01
113174,0.01
113185,0.22
113189,0.01
113218,0.08
113228,0.12
113242,0.01
113254,0.01
113260,4.3
113285,0.05
113288,37.53
113315,0.42
113317,0.09
113347,0.01
113370,0.27
113592,62.24
113693,17.7
113703,10.91
113794,1.16
113879,0.01
113880,0.02
113888,0.25
113910,0.1
114034,28.59
114039,207.71
114143,0.01
114171,12.46
114189,0.44
114319,1.63
114350,37.56
114585,4.56
114866,0.03
114919,0.03
114969,0.03
115041,0.07
115195,1.3
115339,80.07
115953,234.16
116084,0.01
116089,1.39
116144,3.22
116155,0.51
116258,61.34
116298,69.32
116299,0.79
116311,0.07
116340,11.27
116366,1.68
116446,7.62
116668,8.1
116701,6.7
116822,1.96
